Nummer,name,EW,S1,S2,S3,S4,D1,D2,D3,D4
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,7.76,2.64,22.92,57.14,-0.86,0.03,3.3,-3.9
02050601,Hausburgviertel,8752,8.21,2.1,9.52,22.31,-0.29,-0.4,-0.93,-3.07
02050602,Samariterviertel,19631,7.52,1.93,9.61,17.47,-0.55,-0.53,-0.78,-4.83
02050801,Traveplatz,18811,7.6,2.04,11.5,27.15,-0.74,-0.47,-0.76,-3.98
02050802,Boxhagener Platz,19841,6.1,1.55,7.77,14.27,-0.9,-0.44,-0.42,-2.53
02050803,Stralauer Kiez,6632,7.3,2.06,10.93,29.29,-0.75,-0.2,-0.78,-0.59
02050804,Stralauer Halbinsel,3500,2.82,0.7,3.37,4.45,-0.56,0.13,-0.21,-0.78
03010101,Bucher Forst,3297,7.99,2.53,9.01,16.56,-1.59,-1.09,-0.54,-4.18
03010102,Buch,11207,10.62,3.94,15.93,43.7,-0.98,-0.45,0.76,-2.95
03020203,Blankenfelde,2069,6.06,2.61,3.29,8.87,-1.27,0.19,-1.82,-2.53
03020209,Niederschönhausen,14031,4.45,1.41,5.12,8.47,-1.06,-0.33,-0.42,-0.77
03020210,Herthaplatz,10429,5,1.78,5.69,9.47,-0.56,0.3,-0.63,-1.24
03020307,Buchholz,17218,4.72,1.57,6.45,12.8,-0.96,-0.29,-0.68,-3.08
03030405,Karow Nord,10576,5.4,1.68,9.18,19.46,-0.97,-0.37,0.61,-0.25
03030406,Alt-Karow,8157,3.15,1,2.18,4.96,-0.15,-0.06,-0.2,0.5
03030711,Blankenburg,6745,3.12,1.13,2.65,4.49,-0.95,-0.35,0.23,-0.23
03030715,Heinersdorf,6583,4.35,1.62,4.03,8.88,-0.3,-0.02,0.16,-0.95
03030716,Märchenland,1128,4.02,0.89,2.22,5.94,0.98,-0.12,-0.43,5.94
03040508,Rosenthal,4587,3.91,1.27,5.65,12.28,-0.7,-0.15,-0.1,0.02
03040512,Wilhelmsruh,9520,4.98,1.78,4.97,9.62,-0.26,0.08,0.01,-0.85
03040513,Schönholz,3357,4.08,1.49,2.8,1.75,-0.74,-0.2,-1.15,-3.51
03040614,Pankow Zentrum,34233,6.38,2.07,7.69,14.11,-0.74,-0.32,-0.32,-1.43
03040818,Pankow Süd,33714,6.78,2.12,8.56,18.33,-0.89,-0.38,-0.45,-3.18
03050919,Gustav-Adolf-Straße,5320,6.61,1.97,8.65,18.57,-2.03,-0.64,-0.3,-2.91
03050920,Weißer See,7024,6.47,2.25,7.87,15.16,-1.75,-0.42,0.26,-2.13
03050923,Weißenseer Spitze,8772,8.88,3.43,9.54,17.34,-0.75,-0.2,-1.5,-4.42
03050924,Behaimstraße,5647,10.15,3.52,10.86,20.6,-1.03,0.02,-0.67,-1.36
03050925,Komponistenviertel Weißensee,8679,6.99,2.39,9.38,16.57,-0.76,-0.46,0.07,-0.65
03051017,Rennbahnstraße,4123,7.2,2.17,9.36,21.44,-0.34,-0.61,0.62,-1.72
03051021,Buschallee,6484,9.6,3.39,10.19,29.19,-0.86,-0.17,-0.29,-3.44
03051022,Hansastraße,4518,6.79,2.78,10.89,35.19,-1.6,-0.08,0.11,-1.03
03061126,Arnimplatz,14997,6.65,1.9,7.01,10.88,-1,-0.43,-0.74,-3.88
03061131,Falkplatz,10185,5.92,1.68,5.75,6.82,-0.53,-0.54,-0.32,-1.27
03061227,Humannplatz,14413,6.33,1.74,6.66,12.64,-0.26,-0.2,-0.38,-0.77
03061228,Erich-Weinert-Straße,12386,7.82,2.47,9.37,23.81,-1.79,-0.76,-0.66,-5.08
03061332,Helmholtzplatz,22245,6.29,1.89,6.92,9.94,-0.54,-0.38,-0.34,-1.74
03061429,Greifswalder Straße,10163,9.73,3.82,10.77,38.36,-1.07,0.03,0.12,-1.66
03061430,Volkspark Prenzlauer Berg,2971,14.89,4.72,11.71,30.48,1.16,-0.64,0,-0.61
03061434,Anton-Saefkow-Park,6078,7.56,2.39,8.52,15.2,-0.91,-0.16,-0.12,-0.83
03061435,Conrad-Blenkle-Straße,3925,9.93,3.52,13.07,33.64,-1.33,-0.44,0.71,-2.41
03061441,Eldenaer Straße,2342,2.18,0.41,0.81,0.6,-0.06,0.41,-0.65,-0.04
03071536,Teutoburger Platz,10661,5.22,1.42,5.56,9.66,-0.42,-0.12,-0.28,0.37
03071537,Kollwitzplatz,14511,5.11,1.48,5.47,7.7,-0.61,-0.14,0.04,0.41
03071633,Thälmannpark,2736,9.98,3.42,13.96,24.42,1.06,0.34,-0.24,-3.31
03071638,Winsstraße,16800,5.56,1.68,5.95,9.96,-0.65,-0.12,-0.26,-0.14
03071639,Bötzowstraße,12323,5.79,1.56,5.91,7.81,-0.38,-0.24,-0.29,-0.35
04010101,Jungfernheide,10339,12.75,4.97,19.48,56.17,-0.49,-0.39,-1.51,0.37
04010102,Plötzensee,772,7.95,2.71,8.16,42.42,2.53,0.01,2.98,7.64
04010103,Paul-Hertz-Siedlung,7631,12.69,4.79,24.87,55.86,0.04,-0.53,0.8,0.05
04020205,Siedlung Ruhleben,1264,3.29,0.39,1.9,6.13,0.31,-0.64,-0.84,0.87
04020206,Angerburger Allee,2570,5.03,1.89,5.41,19.46,-0.46,0.43,-0.32,1.21
04020207,Flatowallee,2624,3.36,0.85,2.71,4.95,-0.44,-0.47,-0.32,-3.36
04020208,Kranzallee,2846,3.48,1.16,3.58,5.06,-0.23,-0.16,1.05,3.51
04020209,Eichkamp,3128,0.95,0,0.83,1.57,-0.3,-0.37,0.04,0.76
04020310,Park Ruhwald,600,2.81,1.3,3.17,0,-2.32,-0.41,-1.28,-11.11
04020311,Reichsstraße,14153,4.94,1.88,5.4,12.08,-0.16,-0.1,-0.18,-0.1
04020312,Branitzer Platz,5036,4.63,1.46,4.96,7.6,-0.26,-0.31,-0.22,0.57
04020313,Königin-Elisabeth-Straße,7346,5.56,1.77,8.66,22.16,-0.95,-0.65,-0.4,-0.44
