Nummer,Name,EW,category,value
02040503,Richard-Sorge-Viertel,10680,S4,15.07
02040503,Richard-Sorge-Viertel,10680,D1,-0.46
02040503,Richard-Sorge-Viertel,10680,D2,-0.24
02040503,Richard-Sorge-Viertel,10680,D3,0.08
02040503,Richard-Sorge-Viertel,10680,D4,-0.35
02040701,Andreasviertel,12266,S1,7.13
02040701,Andreasviertel,12266,S2,2.08
02040701,Andreasviertel,12266,S3,13.69
02040701,Andreasviertel,12266,S4,44.24
02040701,Andreasviertel,12266,D1,-0.69
02040701,Andreasviertel,12266,D2,-0.42
02040701,Andreasviertel,12266,D3,0.77
02040701,Andreasviertel,12266,D4,0.33
02040702,Weberwiese,10677,S1,6.17
02040702,Weberwiese,10677,S2,1.5
02040702,Weberwiese,10677,S3,7.51
02040702,Weberwiese,10677,S4,14.5
02040702,Weberwiese,10677,D1,-0.55
02040702,Weberwiese,10677,D2,-0.3
02040702,Weberwiese,10677,D3,0.04
02040702,Weberwiese,10677,D4,0.07
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,S1,7.76
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,S2,2.64
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,S3,22.92
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,S4,57.14
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,D1,-0.86
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,D2,0.03
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,D3,3.3
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855,D4,-3.9
02050601,Hausburgviertel,8752,S1,8.21
02050601,Hausburgviertel,8752,S2,2.1
02050601,Hausburgviertel,8752,S3,9.52
02050601,Hausburgviertel,8752,S4,22.31
02050601,Hausburgviertel,8752,D1,-0.29
02050601,Hausburgviertel,8752,D2,-0.4
02050601,Hausburgviertel,8752,D3,-0.93
02050601,Hausburgviertel,8752,D4,-3.07
02050602,Samariterviertel,19631,S1,7.52
02050602,Samariterviertel,19631,S2,1.93
02050602,Samariterviertel,19631,S3,9.61
02050602,Samariterviertel,19631,S4,17.47
02050602,Samariterviertel,19631,D1,-0.55
02050602,Samariterviertel,19631,D2,-0.53
02050602,Samariterviertel,19631,D3,-0.78
02050602,Samariterviertel,19631,D4,-4.83
02050801,Traveplatz,18811,S1,7.6
02050801,Traveplatz,18811,S2,2.04
02050801,Traveplatz,18811,S3,11.5
02050801,Traveplatz,18811,S4,27.15
02050801,Traveplatz,18811,D1,-0.74
02050801,Traveplatz,18811,D2,-0.47
02050801,Traveplatz,18811,D3,-0.76
02050801,Traveplatz,18811,D4,-3.98
02050802,Boxhagener Platz,19841,S1,6.1
02050802,Boxhagener Platz,19841,S2,1.55
02050802,Boxhagener Platz,19841,S3,7.77
02050802,Boxhagener Platz,19841,S4,14.27
02050802,Boxhagener Platz,19841,D1,-0.9
02050802,Boxhagener Platz,19841,D2,-0.44
02050802,Boxhagener Platz,19841,D3,-0.42
02050802,Boxhagener Platz,19841,D4,-2.53
02050803,Stralauer Kiez,6632,S1,7.3
02050803,Stralauer Kiez,6632,S2,2.06
02050803,Stralauer Kiez,6632,S3,10.93
02050803,Stralauer Kiez,6632,S4,29.29
02050803,Stralauer Kiez,6632,D1,-0.75
02050803,Stralauer Kiez,6632,D2,-0.2
02050803,Stralauer Kiez,6632,D3,-0.78
02050803,Stralauer Kiez,6632,D4,-0.59
02050804,Stralauer Halbinsel,3500,S1,2.82
02050804,Stralauer Halbinsel,3500,S2,0.7
02050804,Stralauer Halbinsel,3500,S3,3.37
02050804,Stralauer Halbinsel,3500,S4,4.45
02050804,Stralauer Halbinsel,3500,D1,-0.56
02050804,Stralauer Halbinsel,3500,D2,0.13
02050804,Stralauer Halbinsel,3500,D3,-0.21
02050804,Stralauer Halbinsel,3500,D4,-0.78
03010101,Bucher Forst,3297,S1,7.99
03010101,Bucher Forst,3297,S2,2.53
03010101,Bucher Forst,3297,S3,9.01
03010101,Bucher Forst,3297,S4,16.56
03010101,Bucher Forst,3297,D1,-1.59
03010101,Bucher Forst,3297,D2,-1.09
03010101,Bucher Forst,3297,D3,-0.54
03010101,Bucher Forst,3297,D4,-4.18
03010102,Buch,11207,S1,10.62
03010102,Buch,11207,S2,3.94
03010102,Buch,11207,S3,15.93
03010102,Buch,11207,S4,43.7
03010102,Buch,11207,D1,-0.98
03010102,Buch,11207,D2,-0.45
03010102,Buch,11207,D3,0.76
03010102,Buch,11207,D4,-2.95
03020203,Blankenfelde,2069,S1,6.06
03020203,Blankenfelde,2069,S2,2.61
03020203,Blankenfelde,2069,S3,3.29
03020203,Blankenfelde,2069,S4,8.87
03020203,Blankenfelde,2069,D1,-1.27
03020203,Blankenfelde,2069,D2,0.19
03020203,Blankenfelde,2069,D3,-1.82
03020203,Blankenfelde,2069,D4,-2.53
03020209,Niederschönhausen,14031,S1,4.45
03020209,Niederschönhausen,14031,S2,1.41
03020209,Niederschönhausen,14031,S3,5.12
03020209,Niederschönhausen,14031,S4,8.47
03020209,Niederschönhausen,14031,D1,-1.06
03020209,Niederschönhausen,14031,D2,-0.33
03020209,Niederschönhausen,14031,D3,-0.42
03020209,Niederschönhausen,14031,D4,-0.77
03020210,Herthaplatz,10429,S1,5
03020210,Herthaplatz,10429,S2,1.78
03020210,Herthaplatz,10429,S3,5.69
03020210,Herthaplatz,10429,S4,9.47
03020210,Herthaplatz,10429,D1,-0.56
03020210,Herthaplatz,10429,D2,0.3
03020210,Herthaplatz,10429,D3,-0.63
03020210,Herthaplatz,10429,D4,-1.24
03020307,Buchholz,17218,S1,4.72
03020307,Buchholz,17218,S2,1.57
03020307,Buchholz,17218,S3,6.45
03020307,Buchholz,17218,S4,12.8
03020307,Buchholz,17218,D1,-0.96
03020307,Buchholz,17218,D2,-0.29
03020307,Buchholz,17218,D3,-0.68
